Date,Members,Guests,First Timers,2nd/3rd Timers,Total Check-in,Hall Count,Children
07/01/2024,136,2,8,12,158,164,9
14/01/2024,125,6,11,10,152,169,13
21/01/2024,120,6,9,13,148,147,8
28/01/2024,125,9,5,9,148,147,5
04/02/2024,117,13,13,2,145,151,5
11/02/2024,131,30,11,12,192,187,8
18/02/2024,119,15,12,8,154,150,5
03/03/2024,120,15,9,12,156,163,3
10/03/2024,137,68,10,0,230,263,15
17/03/2024,130,11,8,5,160,167,6
24/03/2024,127,12,15,5,165,164,6
31/03/2024,154,30,9,17,219,223,9
07/04/2024,130,27,15,13,191,190,6
14/04/2024,142,22,12,6,189,182,7
21/04/2024,121,13,3,3,147,150,7
28/04/2024,103,16,16,9,152,178,8
05/05/2024,142,31,11,8,184,193,8
12/05/2024,137,20,4,6,167,197,12
19/05/2024,137,16,3,5,161,168,7
26/05/2024,118,21,10,1,150,160,10
02/06/2024,119,9,5,0,133,137,6
09/06/2024,128,18,10,3,159,165,11
16/06/2024,121,16,2,4,143,151,9
23/06/2024,130,11,3,11,155,156,8
30/06/2024,126,17,1,1,145,133,6
07/07/2024,160,43,5,1,209,205,6
14/07/2024,127,31,1,1,160,176,7
21/07/2024,141,23,9,6,179,167,6
28/07/2024,136,35,9,11,191,200,6
04/08/2024,130,19,7,7,163,171,4
11/08/2024,142,18,19,5,184,180,5
18/08/2024,124,9,6,0,139,146,3
25/08/2024,129,17,2,0,148,155,5
01/09/2024,142,23,6,2,173,171,8
08/09/2024,140,16,7,4,167,175,5
